title,location,price,negotiable,age
Land for sale,"Melton Area,Hillside, ","$320,000",Negotiable,17/02/2020
Untitled Land for sale by nomination in Greenvale | Just $10K deposit,"Hume Area,Greenvale, ","$389,000",,16/02/2020
Ready to build block of land in wollert,"Whittlesea Area,Epping, ","$350,000",,16/02/2020
"North Facing, LAND FOR SALE, rectangular flat block of 448 sq","Melton Area,Melton South, ",$250,Negotiable,16/02/2020
Land for sale,"Melton Area,Plumpton, ","$336,000",,16/02/2020
Land for sale,"Casey Area,Narre Warren South, ","$230,000",,16/02/2020
Land for Sale in Beveridge Victoria,"Hume Area,Campbellfield, ","$330,000",Negotiable,16/02/2020
LAND FOR SALE. $500.000 Prime Real Estate.   Approximately 879 sqm Loc,"Mornington Peninsula,Rye, ",$500,,16/02/2020
Land for Sale in Tarneit - The Grove Estate 389sq,"Wyndham Area,Tarneit, ","$298,000",Negotiable,16/02/2020
Land for sale in Grove Estate 452 Sq no easement,"Melton Area,Truganina, ","$331,200",,16/02/2020
Land 375m² Craigieburn Aston estate,"Hume Area,Mickleham, ","$300,000",,16/02/2020
Titled land Tarneit,"Wyndham Area,Tarneit, ","$390,000",Negotiable,16/02/2020
Wanted: Farm for sale,"Whittlesea Area,Lalor, ",,,15/02/2020
Land for Sale,"Melbourne City,East Melbourne, ","$454,000",,15/02/2020
Large plot of land at Edgebrook Clyde,"Melbourne Region,Casey Area, ","$381,000",,15/02/2020
URGENT!!! Untitled Land for sale by nomination,"Melton Area,Melton South, ","$268,000",,15/02/2020
Land wanted for off grid living.,"Melbourne City,North Melbourne, ","$100,000",,15/02/2020
Wanted: Olivine land required,"Hume Area,Mickleham, ",,,15/02/2020
Build Your New Home!!,"Whittlesea Area,Wollert, ","$285,000",Negotiable,15/02/2020
BARGAIN Priced. 2.6 acre residential block of land in Gippsland..,"Greater Dandenong,Dandenong, ","$179,800",,15/02/2020
East Facing Land for sale in Mickelham perfect Block no Easement 14x25,"Hume Area,Mickleham, ","$307,000",Negotiable,15/02/2020
Titled Land Available in Tarneit ,"Wyndham Area,Tarneit, ",$312,,14/02/2020
Lot 167 Arromont Estate Wollert. Titled. 642 square meters.,"Hume Area,Craigieburn, ","$550,000",Negotiable,14/02/2020
Land required Bridgefield,"Melton Area,Rockbank, ",Negotiable,,14/02/2020
North Facing Land for Sale / Nomination - New Haven (Tarneit),"Wyndham Area,Tarneit, ","$400,000",,14/02/2020
LAND FOR SALE IN MERINDA,"Whittlesea Area,Mernda, ","$340,000",Negotiable,14/02/2020
Land for sale,"Whittlesea Area,Wollert, ","$319,000",Negotiable,13/02/2020
Huge land for sale at the give away price !!,"Melton Area,Melton, ","$259,000",,13/02/2020
