title,location,price,negotiable,age
Premium Land in Atherstone for Sale - suitable for subdivision,"Melton Area,Melton South, ","$340,000",Negotiable,22/02/2020
Land For Sale,"Hume Area,Mickleham, ","$267,000",,17/02/2020
Land for sale Kalkallo,"Whittlesea Area,Donnybrook, ","$9,250",,11/02/2020
"Half acre block of land, one hour from Warnambool","Bayside Area,Hampton, ","$20,000",Negotiable,27/02/2020
Land for sale in Woodlea- Nomination sale,"Banyule Area,Macleod, ","$301,900",,27/02/2020
448SQM Land for Sale in Tarneit,"Wyndham Area,Tarneit, ","$322,000",Negotiable,3 hours ago
Titled Land in Tarneit $325000 Negotiations,"Wyndham Area,Tarneit, ","$325,000",Negotiable,6 hours ago
Land sale 286000 from 296000*392sq,"Wyndham Area,Tarneit, ","$286,000",,10 hours ago
2.6 Acre Building Blocks of Land in Beautiful Gippsland. Bargain.,"Casey Area,Berwick, ","$179,850",,13 hours ago
13 acres of land with water rights,"Moreland Area,Coburg, ","$120,000",Negotiable,21 hours ago
502sqm land for a private home,"Whittlesea Area,Wollert, ","$335,000",,23 hours ago
Premium Land for sale in Thornhill Park - 336 m2,"Melton Area,Caroline Springs, ","$285,000",Negotiable,24 hours ago
"Titled land for sale in Thronhill park, Rockbank","Melton Area,Rockbank, ","$370,000",,aaa
Land for sale in plumpton,"Melton Area,Plumpton, ","$33,500",Negotiable,aaa
Land for sale St Leonard’s,"Hume Area,Melbourne Airport, ","$220,000",Negotiable,aaa
"Quick sale 540 sq meters for$ 3,80,000 ","Wyndham Area,Tarneit, ","$380,000",Negotiable,27/02/2020
Land for sale in Woodlea- Nomination sale,"Banyule Area,Macleod, ","$301,900",,27/02/2020
Land For Sale Berwick,"Monash Area,Chadstone, ","$567,000",,27/02/2020
Botanical estate stage 9a,"Hume Area,Mickleham, ","$310,000",,27/02/2020
TITLED BLOCK OF LAND 350²m WESTWOOD ESTATE Fraser Rise,"Melton Area,Plumpton, ","$336,500",,27/02/2020
LAND FOR SALE CRAIGIEBURN $298500,"Hume Area,Craigieburn, ","$298,500",,27/02/2020
"Half acre block of land, one hour from Warnambool","Bayside Area,Hampton, ","$20,000",Negotiable,27/02/2020
*****LAND FOR URGENT SALE****,"Wyndham Area,Wyndham Vale, ","$325,000",Negotiable,27/02/2020
"Titled land for sale in Thronhill park, Milton","Melton Area,Rockbank, ","$370,000",,27/02/2020
Land for sale in wodlea,"Hobsons Bay Area,Altona, ","$374,000",Negotiable,27/02/2020
"448 sqm, Riverwalk, Titled, NE Facing","Wyndham Area,Werribee, ","$330,000",,27/02/2020
" 6 cockatoo rd,  greenvale","Hume Area,Meadow Heights, ","$420,000",,27/02/2020
Titled Land for sale in kalkallo,"Casey Area,Cranbourne North, ","$272,000",Negotiable,27/02/2020
Land 350sq RothwellWalking distance to Train Station and Shopping Mall,"Wyndham Area,Tarneit, ","$320,000",,27/02/2020
Land sale in riverwalk,"Wyndham Area,Werribee, ","$343,000",,27/02/2020
URGENT ! Cheap titled land 448 SQM for sale in Donnybrook / New,"Whittlesea Area,Donnybrook, ","$315,000",Negotiable,26/02/2020
Land for sale in Woodlea estate Aintree,"Melton Area,Rockbank, ","$380,000",Negotiable,26/02/2020
Land in Mt atkinson Less than contract price,"Melton Area,Taylors Hill, ","$305,000",Negotiable,26/02/2020
East facing square block of Land in woodlea for sale,"Wyndham Area,Point Cook, ","$340,000",Negotiable,26/02/2020
Land Sales - Potential Development,"Casey Area,Cranbourne, ","$580,000",Negotiable,26/02/2020
Block of Land for Sale in Melbourne | Kaikura Land Sales,"Casey Area,Cranbourne, ",Negotiable,,26/02/2020
"Seachange, Buy now, retire later","Casey Area,Narre Warren, ","$400,000",,26/02/2020
Land for sale,"Wyndham Area,Tarneit, ","$13,500",,26/02/2020
Land for sale,"Wyndham Area,Laverton, ",$307,,26/02/2020
Titled land in Bloom Estate,"Casey Area,Hampton Park, ","$365,000",,26/02/2020
Land for sale at riverwalk,"Wyndham Area,Werribee, ","$310,000",,26/02/2020
House in Wheelers Hill,"Monash Area,Wheelers Hill, ","$1,050,000",Negotiable,25/02/2020
Wanted: WTB LAND,"Brimbank Area,Keilor, ","$800,000",,25/02/2020
"392sqm Mt. Atkinson, Truganina - NominationSale $17,260(5% Deposit)","Melton Area,Truganina, ","$17,260",,25/02/2020
"375 SQM LAND FOR SALE (NOMINATION) IN CLOVERTON/KALLO $323,000","Hume Area,Craigieburn, ","$323,000",,25/02/2020
Land For Sale in Wynbrook Estate,"Wyndham Area,Werribee, ","$32,500",,25/02/2020
LAND DONNYBROOK,"Whittlesea Area,Donnybrook, ","$225,000",,25/02/2020
"GOWANBRAE LAST LAND FOR SALE      8 DURANTA DRIVE, GOWANBRAE, VIC 3043","Moreland Area,Gowanbrae, ","$280,000",Negotiable,25/02/2020
Land for sale - Prime Highway Exposure On Over 4 Acres,"Frankston Area,Langwarrin, ",$0.05,,25/02/2020
"$5,000 Discount on East facing 512sqm land at Mambourin estate","Wyndham Area,Wyndham Vale, ","$345,000",,25/02/2020
Wyndham Vale | Wynbrook Estate | Title May 2020 | Land for sale 450sqm,"Cardinia Area,Officer, ",$307,Negotiable,24/02/2020
"Wynbrook Estate Lot 1506 , Creek Avenue, Wyndham Vale","Wyndham Area,Point Cook, ","$318,000",Negotiable,24/02/2020
Land for sale wallan,"Hume Area,Mickleham, ","$262,000",,24/02/2020
land for sale in Highlands Craigieburn ,"Hume Area,Craigieburn, ","$20,000",,24/02/2020
"Land for sale in Melbourne North Donnybrook (Cloverton Estate, )","Moreland Area,Pascoe Vale South, ","$230,000",,24/02/2020
Land for sale(Wyndham vale) Savana,"Wyndham Area,Point Cook, ","$310,000",Negotiable,24/02/2020
LAND FOR SALE URGENT!!!,"Wyndham Area,Wyndham Vale, ","$315,000",,24/02/2020
"Block of Land in Accolade, Rockbank 238sqm to nominate. Save money","Melton Area,Rockbank, ","$215,000",,24/02/2020
Land for sale  512 sq m Monument Plumpton ,"Melton Area,Plumpton, ","$387,000",,24/02/2020
BARGAIN 2.6 acre residential block of land in beautiful Gippsland.,"Cardinia Area,Officer, ","$179,850",,24/02/2020
Land for Sale in ROCKBANK - Nomination Block,"Cardinia Area,Officer, ","$205,000",Negotiable,24/02/2020
VACANT LAND FOR LEASE,"Nillumbik Area,Doreen, ",Negotiable,,23/02/2020
Land for sale by nomination,"Wyndham Area,Hoppers Crossing, ",Negotiable,,23/02/2020
Titled Land for Sale,"Wyndham Area,Tarneit, ","$335,000",,23/02/2020
"Land for sale, titling in July 2020","Wyndham Area,Tarneit, ","$350,000",,23/02/2020
Looking for Land in Truganina,"Wyndham Area,Point Cook, ",$1,,23/02/2020
